X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
30.725926,0.841617,1273.927124,2024/01/24 09:58:50+00,,,301,,,,,,,,,,"Flag, Blue",,,,,,,,
30.725942,0.841591,1279.916138,2024/01/24 10:01:49+00,,,302,,,,,,,,,,"Flag, Blue",,,,,,,,
30.725355,0.841521,1295.077759,2024/01/24 10:12:55+00,,,303,,,,,,,,,,"Flag, Blue",,,,,,,,
30.7244,0.840859,1277.572998,2024/01/24 10:15:51+00,,,304,,,,,,,,,,"Flag, Blue",,,,,,,,
30.723879,0.841431,1300.702759,2024/01/24 10:38:52+00,,,305,,,,,,,,,,"Flag, Blue",,,,,,,,
30.722754,0.842625,1297.877319,2024/01/24 10:40:10+00,,,306,,,,,,,,,,"Flag, Blue",,,,,,,,
30.723228,0.842909,1309.458008,2024/01/24 10:44:47+00,,,307,,,,,,,,,,"Flag, Blue",,,,,,,,
30.722014,0.844357,1283.310425,2024/01/24 10:48:18+00,,,308,,,,,,,,,,"Flag, Blue",,,,,,,,
30.722057,0.845767,1262.138184,2024/01/24 10:49:22+00,,,309,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721418,0.84683,1275.128662,2024/01/24 10:51:01+00,,,310,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721459,0.847489,1282.035156,2024/01/24 10:51:30+00,,,311,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721486,0.84751,1281.994141,2024/01/24 10:51:57+00,,,312,,,,,,,,,,"Flag, Blue",,,,,,,,
30.720464,0.849726,1268.003174,2024/01/24 10:53:38+00,,,313,,,,,,,,,,"Flag, Blue",,,,,,,,
30.72056,0.851613,1252.412231,2024/01/24 10:55:34+00,,,314,,,,,,,,,,"Flag, Blue",,,,,,,,
30.720441,0.85243,1242.320923,2024/01/24 10:56:01+00,,,315,,,,,,,,,,"Flag, Blue",,,,,,,,
30.720474,0.853333,1230.173584,2024/01/24 10:56:34+00,,,316,,,,,,,,,,"Flag, Blue",,,,,,,,
30.720602,0.855014,1214.280518,2024/01/24 10:57:46+00,,,317,,,,,,,,,,"Flag, Blue",,,,,,,,
30.720774,0.855822,1208.026855,2024/01/24 10:59:01+00,,,318,,,,,,,,,,"Flag, Blue",,,,,,,,
30.720784,0.856645,1202.746826,2024/01/24 10:59:25+00,,,319,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721054,0.857581,1196.751099,2024/01/24 10:59:50+00,,,320,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721181,0.858158,1194.066895,2024/01/24 11:00:05+00,,,321,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721231,0.859547,1190.016846,2024/01/24 11:01:08+00,,,322,,,,,,,,,,"Flag, Blue",,,,,,,,
30.721351,0.860246,1186.465332,2024/01/24 11:01:34+00,,,323,,,,,,,,,,"Flag, Blue",,,,,,,,
30.722456,0.861102,1179.455566,2024/01/24 11:03:28+00,,,324,,,,,,,,,,"Flag, Blue",,,,,,,,
30.72325,0.861735,1174.677246,2024/01/24 11:04:08+00,,,325,,,,,,,,,,"Flag, Blue",,,,,,,,
30.724455,0.862301,1171.614258,2024/01/24 11:05:04+00,,,326,,,,,,,,,,"Flag, Blue",,,,,,,,
30.725593,0.863062,1171.7146,2024/01/24 11:05:47+00,,,327,,,,,,,,,,"Flag, Blue",,,,,,,,
30.726992,0.864238,1172.608765,2024/01/24 11:06:35+00,,,328,,,,,,,,,,"Flag, Blue",,,,,,,,
30.728251,0.865598,1172.75293,2024/01/24 11:07:35+00,,,329,,,,,,,,,,"Flag, Blue",,,,,,,,
30.728859,0.865965,1172.79248,2024/01/24 11:08:27+00,,,330,,,,,,,,,,"Flag, Blue",,,,,,,,
30.729637,0.866511,1170.463013,2024/01/24 11:09:09+00,,,331,,,,,,,,,,"Flag, Blue",,,,,,,,
30.730813,0.86731,1168.901489,2024/01/24 11:10:28+00,,,332,,,,,,,,,,"Flag, Blue",,,,,,,,
30.73229,0.86549,1170.213379,2024/01/24 11:12:33+00,,,333,,,,,,,,,,"Flag, Blue",,,,,,,,
30.732661,0.864569,1164.040039,2024/01/24 11:13:05+00,,,334,,,,,,,,,,"Flag, Blue",,,,,,,,
